Date,Type,Value,Transaction Currency,Gross Amount,Currency Gross Amount,Exchange Rate,Fees,Taxes,Shares,ISIN,WKN,Ticker Symbol,Security Name,Note
2024-04-22T00:00,Sell,"-19,928.19",USD,,,,2.67,0.00,486,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 6236800654 | Transaction-ID: 27324792117
2024-04-23T00:00,Buy,"1,887.50",USD,,,,1.00,0.00,50,US46438F1012,677037673,IBIT,ISHARES BITCOIN TRUST,Trade-ID: 6239500927 | Transaction-ID: 27338558708
2024-04-23T00:00,Buy,"5,660.25",USD,,,,0.75,0.00,150,US46438F1012,677037673,IBIT,ISHARES BITCOIN TRUST,Trade-ID: 6239502472 | Transaction-ID: 27338563910
2024-04-23T00:00,Buy,"7,546.25",USD,,,,0.25,0.00,200,US46438F1012,677037673,IBIT,ISHARES BITCOIN TRUST,Trade-ID: 6239501476 | Transaction-ID: 27338559052
2024-04-23T00:00,Buy,"15,094.00",USD,,,,2.00,0.00,400,US46438F1012,677037673,IBIT,ISHARES BITCOIN TRUST,Trade-ID: 6239501481 | Transaction-ID: 27338559077
2024-04-25T00:00,Buy,45.68,USD,,,,0.00,0.00,5.4,US92647P6390,212175478,CBHAX,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Trade-ID: 6246562968 | Transaction-ID: 27369286995
2024-04-29T00:00,Buy,349.50,USD,,,,0.00,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615092 | Transaction-ID: 27403200659
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615718 | Transaction-ID: 27403200961
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254616912 | Transaction-ID: 27403201876
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254616878 | Transaction-ID: 27403201833
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615726 | Transaction-ID: 27403200986
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615763 | Transaction-ID: 27403201028
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254616099 | Transaction-ID: 27403201481
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254616052 | Transaction-ID: 27403201382
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615154 | Transaction-ID: 27403200684
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615866 | Transaction-ID: 27403201308
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254616927 | Transaction-ID: 27403201914
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254617272 | Transaction-ID: 27403202056
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254617402 | Transaction-ID: 27403202144
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615791 | Transaction-ID: 27403201072
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615843 | Transaction-ID: 27403201272
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254617411 | Transaction-ID: 27403202178
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254617135 | Transaction-ID: 27403202036
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254615347 | Transaction-ID: 27403200712
2024-04-29T00:00,Buy,350.00,USD,,,,0.50,0.00,100,US21874A1060,679998205,CORZ,CORE SCIENTIFIC INC,Trade-ID: 6254617512 | Transaction-ID: 27403202198
